,authors,title,year,journal,Target condition or disease,condition,diagnosis_or_prognosis,modalities,added_value,dataset_origin,Sample size (Train),Sample size (Test),total_data,centers_characteristics,evaluation_method,"Algorithm mono used (SVM, RF, NN, CNN, etc.)",Algorithm multi used (uni included if late or hybrid fusion),algorithms_used,fusion_method,evaluation_metric,unimodal_best_score,multimodal_best_score,delta,legal_status,medical_device_regulation,medico_economic_evaluation
TRUE,Joo S & al.,Multimodal deep learning models for the prediction of pathologic response to neoadjuvant chemotherapy in breast cancer.,2021,Scientific reports,"Breast cancer, cancer",cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,Korea,429,107,536,Monocentric,Split-sample validation (1 seul split train/test),"Neural network, ResNet-50, 3D CNN",Neural network,Neuralnetwork,Hybrid fusion,AUC,"0,827","0,888","0,061",No,No,No
TRUE,Vollmer A & al.,Multimodal Machine Learning-based Knee Osteoarthritis Progression Prediction from Plain Radiographs and Clinical Data.,2024,Scientific reports,"osteoarthritis, knee, progression",rheumatology / orthopedics,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",MODERATE,USA,2711,2129,4840,Multicentric,External validation,CNN,"CNN, GBM (gradient boosting Machine)","Neuralnetwork,GBM(gradientboostingMachine)",Late fusion,AUC,"0,79","0,81","0,02",No,No,No
TRUE,Lee G & al.,Predicting Alzheimer's disease progression using multi-modal deep learning approach.,2019,Scientific reports,"Alzheimer, neurology, mild cognitive impairment (MCI)",neurology,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,USA,,,1618,Multicentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""",GRU,GRU,Neuralnetwork,Late fusion,Accuracy,"0,75","0,81","0,06",No,No,No
TRUE,Hussain S & al.,Predicting glaucoma progression using deep learning framework guided by generative algorithm.,2023,Scientific reports,glaucoma,ophthalmology,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,Europe,65,21,86,Monocentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","LSTM, CNN, pix2pix, FC Net","LSTM, CNN, pix2pix, FC Net",Neuralnetwork,Late fusion,AUC,"0,72","0,81","0,09",No,No,No
TRUE,Lee J & al.,Development and Validation of a Multimodal-Based Prognosis and Intervention Prediction Model for COVID-19 Patients in a Multicenter Cohort.,2022,"Sensors (Basel, Switzerland)",Covid-19,infectious disease,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",HIGH,Korea,1731,551,2282,Multicentric,"External validation, Split-sample validation (1 seul split train/test)",Random Forest,Neural network,"Neuralnetwork,RandomForest",Late fusion,AUC,"0,794","0,854","0,06",No,Partial,No
TRUE,Shiraga T & al.,Improving Valvular Pathologies and Ventricular Dysfunction Diagnostic Efficiency Using Combined Auscultation and Electrocardiography Data: A Multimodal AI Approach.,2023,"Sensors (Basel, Switzerland)","valvulopathy, ventricular dysfunction",cardiovascular,Diagnosis / Identification,"Image, Signal",,Europe,1052,103,1155,Multicentric,External validation,CNN,"XGBoost, random forest","""GradientBoostingMachines(XGBoost,CatBoost,ect.)"", RandomForest",Late fusion,AUC,"0,939","0,935","-0,004",No,No,No
TRUE,Heidarivincheh F & al.,Multimodal Classification of Parkinson's Disease in Home Environments with Resiliency to Missing Modalities.,2021,"Sensors (Basel, Switzerland)","neurology, parkinson",neurology,Diagnosis / Identification,"Image, Signal",MODERATE,Europe,,,10,Monocentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""","VAE, CNN, Random Forest, LSTM","VAE, CNN","Neuralnetwork,RandomForest",Late fusion,F-1 Score,"0,47","0,66","0,19",No,No,No
TRUE,Lin A & al.,Generating a multimodal artificial intelligence model to differentiate benign and malignant follicular neoplasms of the thyroid: A proof-of-concept study.,2024,Surgery,"cancer, thyroid cancer",cancer,Diagnosis / Identification,"Structured/Tabular data, Image",HIGH,USA,,,18,Monocentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""",PyRadiomics,,RadiomicsOnly,N/A,AUC,"0,78","0,792","0,012",No,No,No
TRUE,Cearns M & al.,Predicting rehospitalization within 2 years of initial patient admission for a major depressive episode: a multimodal machine learning approach.,2019,Translational psychiatry,"psychiatry, depression, hospitalisation",psychiatry,Severity / Prognosis / Prediction,"Structured/Tabular data, Signal, Omics, Image",HIGH,Europe,?,?,380,Monocentric,"""Repeated split-sample validation (bootstrap - cross-validation - etc.)""",SVM,Elastic Net,"Neuralnetwork,SVM",Late fusion,AUC,"0,62","0,67","0,05",Photon-AI,No,No
TRUE,Tseng V & al.,Leveraging Multimodal Deep Learning Architecture with Retina Lesion Information to Detect Diabetic Retinopathy.,2020,Translational vision science & technology,"OCT, diabetes, diabetic retinopathy",ophthalmology,Diagnosis / Identification,"Structured/Tabular data, Image",HIGH,China,24660,2039,26699,Multicentric,External validation,"FC Net, inception-v4, DenseNet121, RetinaNet","FC Net, inception-v4, DenseNet121, RetinaNet",Neuralnetwork,Late fusion,AUC,"0,9006","0,9709","0,0703",No,No,No
TRUE,Guo Z & al.,Development of a grading diagnostic model for schistosomiasis-induced liver fibrosis based on radiomics and clinical laboratory indicators.,2024,Zhongguo Xue Xi Chong Bing Fang Zhi Za Zhi,infectious disease,infectious disease,Diagnosis / Identification,"Structured/Tabular data, Image",,China,,,491,Monocentric,External validation,"radiomics, LASSO, SVF, RF, LR, XGBoost","radiomics, LASSO, SVF, RF, LR, XGBoost","LASSO, SVM, RandomForest, Logisticregression, ""GradientBoostingMachines(XGBoost,CatBoost,ect.)""",Hybrid fusion,AUC,"0,892","0,913","0,021",N/A,No,No
TRUE,Amador K & al.,A cross-attention-based deep learning approach for predicting functional stroke outcomes using 4D CTP imaging and clinical metadata.,2025,Medical Image Analysis,"neurology, cardiovascular, stroke",cardiovascular,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",,Europe,,,70,Monocentric,"""Repeated split-sample validation (bootstrap, cross-validation, etc.)""","CLS, Attention","CLS, Attention",Neuralnetwork,Hybrid fusion,AUC,"0,73","0,75","0,02",No,No,No
TRUE,Chen T & al.,A Multimodal Deep Learning Nomogram for the Identification of Clinically Significant Prostate Cancer in Patients with Gray-Zone PSA Levels: Comparison with Clinical and Radiomics Models.,2025,Academic Radiology,cancer,cancer,Diagnosis / Identification,"Structured/Tabular data, Image",,China,211,92,303,Monocentric,Split-sample validation (1 seul split train/test),"radiomics, CNN, FCnet","radiomics, CNN, FCnet",Neuralnetwork,Hybrid fusion,AUC,"0,907","0,965","0,058",No,No,No
TRUE,"Chang B & al.
",Application of multimodal deep learning and multi-instance learning fusion techniques in predicting STN-DBS outcomes for Parkinson's disease patients.,2024,Neurotherapeutics,"parkinson, neurology",neurology,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",,China,89,38,127,Monocentric,Split-sample validation (1 seul split train/test),"vnet,CNN,Multi Instance Learning","vnet,CNN,Multi Instance Learning,Radiomics",Neuralnetwork,Hybrid fusion,AUC,"0,825","0,871","0,046",on demand,No,No
TRUE,Yu W & al.,Comparative analysis of machine learning algorithms for Alzheimer's disease classification using EEG signals and genetic information.,2024,Computers in Biology and Medicine,"neurology, Alzheimer, mild cognitive impairment (MCI)",neurology,Diagnosis / Identification,"Omics, Signal",,China,na,na,143,Monocentric,"""Repeated split-sample validation (bootstrap, cross-validation, etc.)""","XGboost, Random Forest, SVM","XGboost, Random Forest, SVM","RandomForest, SVM, ""GradientBoostingMachines(XGBoost,CatBoost,ect.)""",Late fusion,AUC,"0,776","0,916","0,14",No,No,No
TRUE,Gomaa A & al.,Comprehensive multimodal deep learning survival prediction enabled by a transformer architecture: A multicenter study in glioblastoma.,2024,Neuro-Oncology Advances,cancer,cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",,USA,,,780,Multicentric,External validation,"Transformer, GBM","Transformer, GBM","Neuralnetwork, ""GradientBoostingMachines(XGBoost,CatBoost,ect.)""",Late fusion,C-index,"0,669","0,672","0,003",N/A,No,No
TRUE,Xia Y & al.,CT-based multimodal deep learning for non-invasive overall survival prediction in advanced hepatocellular carcinoma patients treated with immunotherapy.,2024,Insights into Imaging,"cancer, liver cancer",cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",,Mixed,161,46,207,Multicentric,External validation,EfficientNet,"LSTM, efficient net",Neuralnetwork,N/A,AUC,"0,849","0,839","-0,01",MIT License,No,No
TRUE,Thoi D & al.,Deep Learning-assisted Diagnosis of Extrahepatic Common Bile Duct Obstruction Using MRCP Imaging and Clinical Parameters.,2025,Current Medical Imaging Reviews,hepato-gastro-enterology,gastro-enterology,Diagnosis / Identification,"Structured/Tabular data, Image",,Korea,na,na,143,Monocentric,"""Repeated split-sample validation (bootstrap, cross-validation, etc.)""","yolov7, ResNet-50, VGG, Efficient-Net, Inception-Net, MLP","yolov7, ResNet-50, VGG, Efficient-Net, Inception-Net",Neuralnetwork,Late fusion,AUC,"0,883","0,918","0,035",N/A,No,No
TRUE,Ou Z & al.,Early identification of stroke through deep learning with multi-modal human speech and movement data.,2025,Neural Regeneration Research,"stroke, cardiovascular, neurology",cardiovascular,Diagnosis / Identification,"Video, Signal",,China,,,253,Monocentric,"""Repeated split-sample validation (bootstrap, cross-validation, etc.)""","ResNet, VGG",Transformer,Neuralnetwork,Late fusion,AUC,"0,83","0,882","0,052",No,No,No
TRUE,Hirosawa T & al.,Evaluating ChatGPT-4's Diagnostic Accuracy: Impact of Visual Data Integration.,2024,JMIR Medical Informatics,Multiple pathologic conditions,all conditions,Diagnosis / Identification,"Free text, Image",,Mixed,,,363,Multicentric,,Transformer,Transformer,Neuralnetwork,N/A,Accuracy,"0,879","0,851","-0,028",No,No,No
TRUE,Kovalyk-Borodyak O & al.,Glaucoma detection: Binocular approach and clinical data in machine learning.,2025,Artificial Intelligence in Medicine,"glaucoma, ophtalmology",ophthalmology,Diagnosis / Identification,"Structured/Tabular data, Image",,Europe,,,244,Monocentric,"""Repeated split-sample validation (bootstrap, cross-validation, etc.)""","gradient boosting decision trees GBDT, MobileNet, VGG16, ResNet-50, Inception","gradient boosting decision trees GBDT, MobileNet, VGG16, ResNet-50, Inception","""GradientBoostingMachines(XGBoost,CatBoost,ect.)"", Neuralnetwork",Hybrid fusion,AUC,"0,764","0,796","0,032",MIT License,No,No
TRUE,Kilim O & al.,Histopathology and proteomics are synergistic for High-Grade Serous Ovarian Cancer platinum response prediction.,2025,npj Precision Oncology,"cancer, ovarian",cancer,Severity / Prognosis / Prediction,"Omics, Image",,USA,,,93,Multicentric,External validation,"CTransPath, UNI, DINO, ViT-Small, AdaW","CTransPath, UNI, DINO, ViT-Small, AdaW",Neuralnetwork,Late fusion,AUC,"0,558","0,84","0,282",repo GH,No,No
TRUE,Li Q & al.,Human-multimodal deep learning collaboration in 'precise' diagnosis of lupus erythematosus subtypes and similar skin diseases.,2024,Journal of the European Academy of Dermatology and Venereology,auto-immune disease,auto-immune disease,Diagnosis / Identification,"Structured/Tabular data, Image",,China,382,64,446,Multicentric,External validation,"EfficientNet-b3, restnet-18",FC Net,Neuralnetwork,Hybrid fusion,AUC,"0,9459","0,9844","0,0385",repo GH,No,No
TRUE,Baharoon M & al.,HyMNet: A Multimodal Deep Learning System for Hypertension Prediction Using Fundus Images and Cardiometabolic Risk Factors.,2024,Bioengineering,cardiovascular,cardiovascular,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",,Saudi Arabia,994,249,1243,Monocentric,Split-sample validation (1 seul split train/test),"RETFound, FC Net","RETFound, FC Net",Neuralnetwork,Hybrid fusion,AUC,"0,69","0,705","0,015",repo GH,No,No
TRUE,Rahaman M & al.,Imaging-genomic spatial-modality attentive fusion for studying neuropsychiatric disorders.,2024,Human Brain Mapping,"psychiatry, schizophrenia",psychiatry,Diagnosis / Identification,"Omics, Image",,USA,,,437,Multicentric,"""Repeated split-sample validation (bootstrap, cross-validation, etc.)""","Auto Encoder, MLP, LSTM","Auto Encoder, MLP, LSTM",Neuralnetwork,Hybrid fusion,Accuracy,"0,811","0,941","0,13",on demand,No,No
TRUE,Hinterwimmer F & al.,Impact of metadata in multimodal classification of bone tumours.,2024,BMC Musculoskeletal Disorders,cancer,cancer,Diagnosis / Identification,"Structured/Tabular data, Image",,Europe,,,804,Monocentric,"""Repeated split-sample validation (bootstrap, cross-validation, etc.)""","NesT, MLP","NesT, MLP",Neuralnetwork,Hybrid fusion,Accuracy,"0,628","0,678","0,05",N/A,No,No
TRUE,Oh Y & al.,LLM-driven multimodal target volume contouring in radiation oncology.,2024,Nature Communications,cancer,cancer,Diagnosis / Identification,"Structured/Tabular data, Image",,Korea,,,981,Monocentric,External validation,"LLM, neural networks, U-Net","LLM, neural networks, Transformer, U-net",Neuralnetwork,Late fusion,DICE,"0,731","0,822","0,091",,,
TRUE,Kanyal A & al.,Multi-modal deep learning from imaging genomic data for schizophrenia classification.,2024,Frontiers in Psychiatry,psychiatry,psychiatry,Diagnosis / Identification,"Omics, Image",,USA,,,429,Multicentric,"""Repeated split-sample validation (bootstrap, cross-validation, etc.)""","DenseNet, CNN, ""Layer-wise Relevance Propagation""","CNN, ""Layer-wise Relevance Propagation"", XGBoost","Neuralnetwork, ""GradientBoostingMachines(XGBoost,CatBoost,ect.)""",Late fusion,Accuracy,"0,7529","0,7901","0,0372",N/A,No,No
TRUE,Tur K & al.,Multi-Modal Machine Learning Approach for COVID-19 Detection Using Biomarkers and X-Ray Imaging.,2024,Diagnostics,"Covid-19, infectious disease",infectious disease,Diagnosis / Identification,"Structured/Tabular data, Image",,Europe,na,na,250,Multicentric,"""Repeated split-sample validation (bootstrap, cross-validation, etc.)""","ResNet, Random Forest, gradient boosting, vgg","ResNet, Random Forest, gradient boosting, vgg","Neuralnetwork, RandomForest, ""GradientBoostingMachines(XGBoost,CatBoost,ect.)""",Late fusion,AUC,"0,88","0,94","0,06",N/A,No,No
TRUE,Roest C & al.,Multimodal AI Combining Clinical and Imaging Inputs Improves Prostate Cancer Detection.,2024,Investigative Radiology,"prostate, cancer",cancer,Diagnosis / Identification,"Structured/Tabular data, Image",,Europe,383,429,812,Bicentric,External validation,U-Net,"unet, logistic regression","Logisticregression, Neuralnetwork",Early fusion,AUC,"0,7","0,77","0,07",No,No,No
TRUE,Li D & al.,Multimodal deep learning for predicting in-hospital mortality in heart failure patients using longitudinal chest X-rays and electronic health records.,2025,The International Journal of Cardiovascular Imaging,mortality,cardiovascular,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",,USA,,,4041,Multicentric,Split-sample validation (1 seul split train/test),Dense Layer,"Transformer, MN-STDT",Neuralnetwork,Late fusion,AUC,"0,8166","0,862","0,0454",No,No,No
TRUE,Xia C & al.,Multimodal Deep Learning Fusing Clinical and Radiomics Scores for Prediction of Early-Stage Lung Adenocarcinoma Lymph Node Metastasis.,2024,Academic Radiology,"lung cancer, cancer",cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",,China,524,200,724,Bicentric,External validation,"LASSO, InceptionResNetV2",InceptionResNetV2,"Neuralnetwork, LASSO",Late fusion,AUC,"0,85","0,906","0,056",N/A,No,No
TRUE,Kolk M & al.,Multimodal explainable artificial intelligence identifies patients with non-ischaemic cardiomyopathy at risk of lethal ventricular arrhythmias.,2024,Scientific Reports,arythmia,cardiovascular,Diagnosis / Identification,"Signal, Structured/Tabular data, Image",,Europe,186,103,289,Bicentric,External validation,"3D CNN, 2D CNN","3D CNN, 2D CNN",Neuralnetwork,Late fusion,AUC,"0,801","0,844","0,043",No,No,No
TRUE,Drougkas G & al.,Multimodal machine learning for language and speech markers identification in mental health.,2024,BMC Medical Informatics and Decision Making,psychiatry,psychiatry,Diagnosis / Identification,"Free text, Signal",,USA,,,189,Multicentric,"""Repeated split-sample validation (bootstrap, cross-validation, etc.)""","SVM, Logistic regression, Random Forest, FC Net","SVM, Logistic regression, Random Forest, FC Net","SVM, Logisticregression, RandomForest, Neuralnetwork",Early fusion,AUC,"0,9395","0,928","-0,0115",Apache License,No,No
TRUE,Rhanoui M & al.,Multimodal Machine Learning for Predicting Post-Surgery Quality of Life in Colorectal Cancer Patients.,2024,Journal of Imaging,"colorectal cancer, cancer",cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",,Morocco,,,100,Monocentric,Split-sample validation (1 seul split train/test),U-Net,U-Net,Neuralnetwork,Late fusion,Accuracy,"0,64","0,64",0,N/A,No,No
TRUE,Gaeta A & al.,Predicting Alzheimer's disease CSF core biomarkers: a multimodal Machine Learning approach.,2024,Frontiers in Aging Neuroscience,"Alzheimer, neurology",neurology,Severity / Prognosis / Prediction,"Structured/Tabular data, Signal",,Europe,,,49,Monocentric,"""Repeated split-sample validation (bootstrap, cross-validation, etc.)""","gradient boosting, SVM, LASSO, KNN-R","gradient boosting, SVM, LASSO, KNN-R","SVM, LASSO, ""GradientBoostingMachines(XGBoost,CatBoost,ect.)"", OtherMachineLearningAlgo",Early fusion,MAE,"142,83","146,15","3,32",N/A,No,No
TRUE,Xu Y & al.,Predicting rectal cancer prognosis from histopathological images and clinical information using multi-modal deep learning.,2024,Frontiers in Oncology,"cancer, rectal cancer",cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",,China,234,58,292,Monocentric,Split-sample validation (1 seul split train/test),ResNet,"Attention, resnet, MLP",Neuralnetwork,Late fusion,AUC,"0,797","0,837","0,04",No,No,No
TRUE,Liu Z & al.,Predicting rectal cancer tumor budding grading based on MRI and CT with multimodal deep transfer learning: A dual-center study,2024,"Bioinformatics (Oxford, England)","renal cancer, cancer",cancer,Diagnosis / Identification,"Structured/Tabular data, Image",,China,289,66,355,Bicentric,External validation,"FC Net, Logistic regression",Ensemble,Neuralnetwork,Late fusion,AUC,"0,764","0,868","0,104",No,No,No
TRUE,Chen Y & al.,Preoperative discrimination of absence or presence of myometrial invasion in endometrial cancer with an MRI-based multimodal deep learning radiomics model.,2025,Abdominal Radiology,cancer,cancer,Severity / Prognosis / Prediction,"Structured/Tabular data, Image",,China,678,461,1139,Multicentric,External validation,"ResNet18, Radiomics","ResNet18, Radiomics",Neuralnetwork,Late fusion,AUC,"0,784","0,852","0,068",No,No,No
TRUE,V. Dentamaro & al.,Enhancing early Parkinson's disease detection through multimodal deep learning and explainable AI: insights from the PPMI database.,2024,Scientific Reports,,neurology,Diagnosis / Identification,"Structured/Tabular data, Image",HIGH,Mixed,,,34,Multicentric,Repeated split-sample validation (bootstrap - cross-validation - etc.),,,Neuralnetwork,Late fusion,AUC,"0,98","0,989","0,009",N/A,No,No
